url,id,parent,label_it,level
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/0.0,0.0,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/0,Macchine motrici,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/0.1,0.1,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/0,Macchine generatrici,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/0.2,0.2,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/0,Macchine operatrici non utensili,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/0.3,0.3,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/0,Macchine trasformatrici e convertitrici,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/0.4,0.4,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/0,Macchine utensili,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/1.0,1.0,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/1,Mezzi di sollevamento e/o stoccaggio e/o smistamento materiali,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/1.1,1.1,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/1,Mezzi di trasporto terrestre non su rotaia,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/1.2,1.2,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/1,Mezzi di trasporto su rotaia,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/1.3,1.3,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/1,Mezzi di trasporto aereo,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/1.4,1.4,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/1,Mezzi di trasporto per via acqua,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/1.5,1.5,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/1,Mezzi di trasporto su fune,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/2.0,2.0,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/2,Impianti di distribuzione di vapore,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/2.1,2.1,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/2,Impianti di distribuzione di liquidi,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/2.2,2.2,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/2,Impianti di distribuzione di elettricità,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/2.3,2.3,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/2,Impianti di distribuzione di gas,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/2.5,2.5,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/2,Impianti di distribuzione di materiali solidi,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/3.0,3.0,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/3,Attrezzi,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/3.1,3.1,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/3,Utensili,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/3.2,3.2,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/3,Attrezzature,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/3.3,3.3,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/3,Apparecchiature,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/4.0,4.0,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/4,Esplosivi,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/4.1,4.1,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/4,Polveri,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/4.2,4.2,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/4,"Gas, vapori, fumi",2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/4.3,4.3,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/4,Materiali liquidi,2
http://dati.inail.it/opendata/vocabolari/agente_materiale/agente/4.4,4.4,http://dati.inail.it/opendata/vocabolari/agente_materiale/gruppo/4,Materiali solidi,2
