"url","id","label_it","level"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/1","1","Matricole",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/2","2","RR.NN.MM.GG.",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/3","3","Registro internazionale",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/4","4","R.I.D.",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/5","5","R.N.D.",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/6","6","Registro speciale",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/registro_iscrizione_nave/7","7","Navi estere",1
