"url","id","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/risk_management/tipo_acquisto/1","1","ACQUISTO","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/risk_management/tipo_acquisto/2","2","NOLEGGIO CON PATTO DI ACQUISTO","http://www.w3.org/2001/XMLSchema#integer","1"
