"url","id","label_it","level.@type","level.@value","parent"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/4.4","4.4","Impiegati addetti alla raccolta, controllo, conservazione e recapito della documentazione","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/4"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/5.1","5.1","Professioni qualificate nelle attività commerciali","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/5.2","5.2","Professioni qualificate nelle attività ricettive e della ristorazione","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/5.3","5.3","Professioni qualificate nei servizi sanitari e sociali","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/5.4","5.4","Professioni qualificate nei servizi culturali, di sicurezza, di pulizia e alla persona","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/6.1","6.1","Artigiani e operai specializzati dell'industria estrattiva, dell'edilizia e della manutenzione degli edifici","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/6.2","6.2","Artigiani ed operai metalmeccanici specializzati e installatori e manutentori di attrezzature elettriche ed elettroniche","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/6.3","6.3","Artigiani ed operai specializzati della meccanica di precisione, dell'artigianato artistico, della stampa ed assimilati","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/6.4","6.4","Agricoltori e operai specializzati dell'agricoltura, delle foreste, della zootecnia, della pesca e della caccia","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/6.5","6.5","Artigiani e operai specializzati delle lavorazioni alimentari, del legno, del tessile, dell'abbigliamento, delle pelli, del cuoio e dell'industria dello spettacolo","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/7.1","7.1","Conduttori di impianti industriali","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/7.2","7.2","Operai semiqualificati di macchinari fissi per la lavorazione in serie e operai addetti al montaggio","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/7.3","7.3","Operatori di macchinari fissi in agricoltura e nella industria alimentare","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/7.4","7.4","Conduttori di veicoli, di macchinari mobili e di sollevamento","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/8.1","8.1","Professioni non qualificate nel commercio e nei servizi","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/8.2","8.2","Professioni non qualificate nelle attività domestiche, ricreative e culturali","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/8.3","8.3","Professioni non qualificate nell'agricoltura, nella manutenzione del verde, nell'allevamento, nella silvicoltura e nella pesca","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/8.4","8.4","Professioni non qualificate nella manifattura, nell'estrazione di minerali e nelle costruzioni","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/9.1","9.1","Ufficiali delle forze armate","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/9"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/9.2","9.2","Sergenti, sovraintendenti e marescialli delle forze armate","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/9"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/9.3","9.3","Truppa delle forze armate","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello1/9"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.1.1","1.1.1","Membri di organismi di governo e di assemblee con potestà legislativa e regolamentare","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.1.2","1.1.2","Direttori, dirigenti ed equiparati dell'amministrazione pubblica e nei servizi di sanità, istruzione e ricerca","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.1.3","1.1.3","Dirigenti della magistratura","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.1.4","1.1.4","Dirigenti di organizzazioni di interesse nazionale e sovranazionale","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.2.1","1.2.1","Imprenditori e amministratori di grandi aziende","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.2.2","1.2.2","Direttori e dirigenti generali di aziende","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.2.3","1.2.3","Direttori e dirigenti dipartimentali di aziende","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/1.3.1","1.3.1","Imprenditori e responsabili di piccole aziende","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/1.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.1.1","2.1.1","Specialisti in scienze matematiche, informatiche, chimiche, fisiche e naturali","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.1"
