"url","id","parent","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/0.0","0.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/0","Macchine motrici","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/0.1","0.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/0","Macchine generatrici","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/0.2","0.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/0","Macchine operatrici non utensili","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/0.3","0.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/0","Macchine trasformatrici e convertitrici","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/0.4","0.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/0","Macchine utensili","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/1.0","1.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","Mezzi di sollevamento e/o stoccaggio e/o smistamento materiali","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/1.1","1.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","Mezzi di trasporto terrestre non su rotaia","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/1.2","1.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","Mezzi di trasporto su rotaia","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/1.3","1.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","Mezzi di trasporto aereo","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/1.4","1.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","Mezzi di trasporto per via acqua","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/1.5","1.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","Mezzi di trasporto su fune","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/2.0","2.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/2","Impianti di distribuzione di vapore","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/2.1","2.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/2","Impianti di distribuzione di liquidi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/2.2","2.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/2","Impianti di distribuzione di elettricità","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/2.3","2.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/2","Impianti di distribuzione di gas","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/2.5","2.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/2","Impianti di distribuzione di materiali solidi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/3.0","3.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/3","Attrezzi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/3.1","3.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/3","Utensili","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/3.2","3.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/3","Attrezzature","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/3.3","3.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/3","Apparecchiature","http://www.w3.org/2001/XMLSchema#integer","2"
