"url","id","parent","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/1.0","1.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/1","Produzione, trasformazione, trattamento, magazzinaggio - di ogni tipo - non precisato","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/1.1","1.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/1","Produzione, trasformazione, trattamento - di ogni tipo","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/1.2","1.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/1","Magazzinaggio - di ogni tipo","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/1.9","1.9","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/1","Altro tipo di lavoro conosciuto del gruppo 10 non indicato qui sopra","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/2.0","2.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/2","Sterro, costruzione, manutenzione e demolizione edili - non precisato","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/2.1","2.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/2","Sterro","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/2.2","2.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/2","Edilizia (costruzione)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/2.3","2.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/2","Genio civile, infrastrutture, strade, ponti, dighe, porti (costruzione)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/2.4","2.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/2","Restauro, riparazione, ampliamento - di ogni tipo","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/concetto/2.5","2.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_lavoro/gruppo/2","Demolizione - di ogni tipo","http://www.w3.org/2001/XMLSchema#integer","2"
